sim_nr,wall_setup,bollard_type,particles,time_s,total_exited
70,wallie1,void,3000,7,0
70,wallie1,void,3000,8,0
70,wallie1,void,3000,9,0
70,wallie1,void,3000,10,0
70,wallie1,void,3000,11,0
70,wallie1,void,3000,12,0
70,wallie1,void,3000,13,7
70,wallie1,void,3000,14,35
70,wallie1,void,3000,15,80
70,wallie1,void,3000,16,137
70,wallie1,void,3000,17,211
70,wallie1,void,3000,18,286
70,wallie1,void,3000,19,372
70,wallie1,void,3000,20,462
70,wallie1,void,3000,21,563
70,wallie1,void,3000,22,660
70,wallie1,void,3000,23,767
70,wallie1,void,3000,24,875
70,wallie1,void,3000,25,983
70,wallie1,void,3000,26,1084
70,wallie1,void,3000,27,1191
70,wallie1,void,3000,28,1291
70,wallie1,void,3000,29,1392
70,wallie1,void,3000,30,1490
70,wallie1,void,3000,31,1594
70,wallie1,void,3000,32,1691
70,wallie1,void,3000,33,1778
70,wallie1,void,3000,34,1869
70,wallie1,void,3000,35,1955
70,wallie1,void,3000,36,2038
70,wallie1,void,3000,37,2123
70,wallie1,void,3000,38,2195
70,wallie1,void,3000,39,2267
70,wallie1,void,3000,40,2342
70,wallie1,void,3000,41,2403
70,wallie1,void,3000,42,2468
70,wallie1,void,3000,43,2530
70,wallie1,void,3000,44,2587
70,wallie1,void,3000,45,2638
70,wallie1,void,3000,46,2688
70,wallie1,void,3000,47,2733
70,wallie1,void,3000,48,2772
70,wallie1,void,3000,49,2808
70,wallie1,void,3000,50,2842
70,wallie1,void,3000,51,2873
70,wallie1,void,3000,52,2899
70,wallie1,void,3000,53,2920
70,wallie1,void,3000,54,2940
70,wallie1,void,3000,55,2957
70,wallie1,void,3000,56,2970
70,wallie1,void,3000,57,2981
70,wallie1,void,3000,58,2990
70,wallie1,void,3000,59,2996
71,wallie1,void,3000,0,0
71,wallie1,void,3000,1,0
71,wallie1,void,3000,2,0
71,wallie1,void,3000,3,0
71,wallie1,void,3000,4,0
71,wallie1,void,3000,5,0
71,wallie1,void,3000,6,0
71,wallie1,void,3000,7,0
71,wallie1,void,3000,8,0
71,wallie1,void,3000,9,0
71,wallie1,void,3000,10,0
71,wallie1,void,3000,11,0
71,wallie1,void,3000,12,0
71,wallie1,void,3000,13,8
71,wallie1,void,3000,14,35
